公司中文名称,年份,"流动资产周转率
[报告期] 2008年报
[单位] 次","应收账款周转率
[报告期] 2008年报
[单位] 次","财务费用
[报告期] 2008年报
[报表类型] 合并报表
[单位] 元","主营业务收入
[报告期] 2008年报
[报表类型] 合并报表
[单位] 元",产权比率,"流动比率
[报告期] 2008年报","速动比率
[报告期] 2008年报","现金比率
[报告期] 2008年报","经营活动现金净流量(TTM)
[报告期] 2008年报
[单位] 元","流动负债合计
[报告期] 2008年报
[报表类型] 合并报表
[单位] 元","资产负债率
[报告期] 2008年报
[单位] %","利润总额(TTM)
[报告期] 2008年报
[单位] 元","非流动负债合计
[报告期] 2008年报
[报表类型] 合并报表
[单位] 元","所有者权益合计
[报告期] 2008年报
[报表类型] 合并报表
[单位] 元","利息支出(TTM)
[报告期] 2008年报
[单位] 元","长期资本负债率
[报告期] 2008年报
[单位] %","现金流量利息保障倍数
[报告期] 2008年报","负债合计
[报告期] 2008年报
[报表类型] 合并报表
[单位] 元","利润总额/营业收入(TTM)
[报告期] 2008年报
[单位] %","总资产报酬率ROA
[报告期] 2008年报
[单位] %","主营业务成本
[报告期] 2008年报
[报表类型] 合并报表
[单位] 元","税金及附加
[报告期] 2008年报
[报表类型] 合并报表
[单位] 元","净资产收益率ROE(摊薄)
[报告期] 2008年报
[单位] %","存货周转率
[报告期] 2008年报
[单位] 次","营运资本周转率
[报告期] 2008年报
[单位] 次","非流动资产周转率
[报告期] 2008年报
[单位] 次","总资产周转率
[报告期] 2008年报
[单位] 次","成本费用利润率
[报告期] 2008年报
[单位] %","营业收入(同比增长率)
[报告期] 2008年报
[单位] %","总资产(同比增长率)
[报告期] 2008年报
[单位] %","大股东持股比例
[日期] 2009-03-01
[大股东排名] 第1名
[单位] 1%","无形资产
[报告期] 2008年报
[报表类型] 合并报表
[单位] 元","资产总计
[报告期] 2008年报
[报表类型] 合并报表
[单位] 元","净利润(TTM)
[报告期] 2008年报
[单位] 元"
北汽福田汽车股份有限公司,2008,6.92,62.73,130905381.9,30069831806,2.27,0.72,0.31,0.09,-417460459.4,6632000024,69.39,311781971.3,191032425.5,3010445554,117417901.3,5.97,-2.9,6823032450,1.04,4.89,27632035325,86894165.51,11.5,10.48,,6.78,3.42,1.16,7.91,27.19,37.74,582244958.4,9833478004,345538480.7
长春一汽富维汽车零部件股份有限公司,2008,6.07,25.38,17973218.59,3475574619,0.41,0.88,0.37,0.15,-116219581.3,548367003,29.22,189938876.7,,1328282225,17965286.46,,-6.11,548367003,5.47,10.67,3418995666,4295745.08,14.27,10.02,,2.53,1.78,5.23,4.56,-7.11,20.14,,1876649228,189515952.6
安徽江淮汽车集团股份有限公司,2008,6.15,41,25512606.39,14724642820,1.16,0.59,0.39,0.23,567142783.4,4067233362,53.76,22667264.01,674580529.9,4079111553,14028173.36,14.42,17.23,4741813892,0.15,0.45,12958916279,381262093.4,1.42,15.72,,2.55,1.8,0.42,3.16,17.12,34.76,369711584.2,8820925445,60086333.64
天津一汽夏利汽车股份有限公司,2008,2.7,156.54,43158115.73,7279532025,1.22,0.58,0.38,0.31,-526618200.2,4010766869,54.88,44371025.53,23121344.24,3316612288,37886139.57,0.7,-8.36,4033888213,0.61,1.15,6769862321,184864023.6,3.04,7.62,,1.64,1.02,1.33,-7.01,-2.27,47.73,365031235.6,7350500501,103502012.2
一汽轿车股份有限公司,2008,3.1,150.42,-74534904.2,20245456624,0.53,1.82,1.45,1.35,1168764521,3458397104,34.67,1276138324,53196907.38,6618269295,-49846060.1,0.8,118.57,3511594012,6.3,12.45,15747067538,986289527.2,16.56,9.99,6.83,6.11,2.06,6.12,48.67,4.94,53.03,372792243.8,10129863307,1098963923
郑州宇通客车股份有限公司,2008,2.3,10.57,20699988.66,8335671865,1.75,1.01,0.79,0.56,964232711,2854019805,63.69,629824594.5,129626244.6,1701028766,26026085.87,7.17,21.88,2983646050,7.56,10.43,7024011472,29973907.1,31.63,6.56,,3.13,1.33,6.67,3.51,-41.95,32.17,234717847.4,4684674816,524097901.3
华域汽车系统股份有限公司,2008,3.83,30.24,232093479.4,5425445742,1.49,0.31,0.25,0.16,993315161.3,4934041779,59.86,-13784044.85,422639518.5,3591756740,,13.13,,5356681297,-0.25,2.25,4858769447,161032744.3,-1.29,17.61,,0.66,0.56,-1.1,-1.88,-14.27,22.96,788294892.6,8948438037,-63398129.87
湖南天雁机械股份有限公司,2008,3,12.93,31551080.61,2090715662,2.6,0.67,0.43,0.25,38789003.55,1052381583,72.23,5524382.28,,404668843.3,12932189.5,,2.21,1052381583,0.26,1.28,1812554176,28015475.28,0.95,7.45,,2.79,1.45,0.25,8.15,1.78,31.43,271135212.9,1457050427,5061341.47
比亚迪股份有限公司,2008,1.91,10.41,697227000,27727209000,1.44,1.03,0.54,0.33,1788545000,14035822000,59,1363972000,5158566000,13337372000,396670000,31.37,3.1,19194388000,4.92,5.41,22032299000,300424000,,3.19,,,0.85,4.85,,,,2019407000,32531760000,1275649000
重庆长安汽车股份有限公司,2008,2.2,24.38,49544519.16,13375458431,0.99,0.79,0.57,0.47,484837706.9,7582770239,49.84,34027294.89,76432992.97,7708621612,35260748.54,1,6.07,7659203232,0.25,0.47,11368659132,322563843.5,0.32,6.58,,1.52,0.9,0.13,-2.53,7.07,45.55,114867134.5,15367824845,17931061.91
