公司中文名称,年份,"流动资产周转率
[报告期] 2009年报
[单位] 次","应收账款周转率
[报告期] 2009年报
[单位] 次","财务费用
[报告期] 2009年报
[报表类型] 合并报表
[单位] 元","主营业务收入
[报告期] 2009年报
[报表类型] 合并报表
[单位] 元","产权比率
[报告期] 2009年报","流动比率
[报告期] 2009年报","速动比率
[报告期] 2009年报","现金比率
[报告期] 2009年报","经营活动现金净流量(TTM)
[报告期] 2009年报
[单位] 元","流动负债合计
[报告期] 2009年报
[报表类型] 合并报表
[单位] 元","资产负债率
[报告期] 2009年报
[单位] %","利润总额(TTM)
[报告期] 2009年报
[单位] 元","非流动负债合计
[报告期] 2009年报
[报表类型] 合并报表
[单位] 元","所有者权益合计
[报告期] 2009年报
[报表类型] 合并报表
[单位] 元","利息支出(TTM)
[报告期] 2009年报
[单位] 元","长期资本负债率
[报告期] 2009年报
[单位] %","现金流量利息保障倍数
[报告期] 2009年报","负债合计
[报告期] 2009年报
[报表类型] 合并报表
[单位] 元","利润总额/营业收入(TTM)
[报告期] 2009年报
[单位] %","总资产报酬率ROA
[报告期] 2009年报
[单位] %","主营业务成本
[报告期] 2009年报
[报表类型] 合并报表
[单位] 元","税金及附加
[报告期] 2009年报
[报表类型] 合并报表
[单位] 元","净资产收益率ROE(摊薄)
[报告期] 2009年报
[单位] %","存货周转率
[报告期] 2009年报
[单位] 次","营运资本周转率
[报告期] 2009年报
[单位] 次","非流动资产周转率
[报告期] 2009年报
[单位] 次","总资产周转率
[报告期] 2009年报
[单位] 次","成本费用利润率
[报告期] 2009年报
[单位] %","营业收入(同比增长率)
[报告期] 2009年报
[单位] %","总资产(同比增长率)
[报告期] 2009年报
[单位] %","大股东持股比例
[日期] 2010-03-01
[大股东排名] 第1名
[单位] 1%","无形资产
[报告期] 2009年报
[报表类型] 合并报表
[单位] 元","资产总计
[报告期] 2009年报
[报表类型] 合并报表
[单位] 元","净利润(TTM)
[报告期] 2009年报
[单位] 元"
富奥汽车零部件股份有限公司,2009,0.1117,,"31,301,996.00","1,853,970.96",,0.0288,0.0288,0,"-167,662.91","1,022,405,660.98","4,193.94","8,102,735.47","734,495,365.42","-1,715,009,592.09","31,112,521.99",-74.9092,-0.0054,"1,756,901,026.40",437.0476,131.0394,,,,,,0.139,0.062,,9.0909,142.1307,59.82,"1,300,000.00","41,891,434.31","8,102,735.47"
潍柴动力股份有限公司,2009,1.5765,11.3588,"146,571,154.42","35,525,182,482.40",1.3126,1.4216,1.093,0.8267,"2,439,294,267.76","17,672,436,423.94",56.7584,"4,679,890,326.67","2,884,400,035.08","15,661,314,693.77","134,122,012.80",19.7035,9.8424,"20,556,836,459.02",13.1734,14.7024,"26,867,475,616.30","156,663,861.51",28.9879,4.6096,6.6552,3.4799,1.085,12.9635,7.2368,23.7477,24.23,"911,047,399.78","36,218,151,152.79","3,947,510,205.77"
江铃汽车股份有限公司,2009,2.4583,89.0983,"-52,037,271.00","10,433,205,023.00",0.6767,1.6954,1.3586,1.2713,"3,114,473,830.00","3,147,055,751.00",40.3587,"1,243,644,395.00","200,437,435.00","4,946,853,022.00",,3.9735,,"3,347,493,186.00",11.9201,16.7148,"7,706,608,170.00","180,522,984.00",21.8031,7.2784,5.6272,3.6164,1.4635,11.9739,21.4995,39.0787,41.03,"316,284,766.00","8,294,346,208.00","1,080,152,177.00"
万向钱潮股份有限公司,2009,1.8632,6.8793,"114,209,214.91","5,569,890,333.17",2.0946,1.0002,0.6462,0.3118,"727,040,340.14","3,025,323,970.37",67.6859,"353,673,302.39","906,833,305.38","1,877,259,035.99",,35.6393,,"3,932,157,275.75",6.3497,8.055,"4,560,763,345.72","25,818,424.03",16.2479,4.0916,,1.9757,0.9589,5.801,14.8836,0.0291,61.05,"122,770,872.86","5,809,416,311.74","300,857,067.32"
海马汽车集团股份有限公司,2009,1.5284,276.2772,"-13,525,050.76","6,267,076,747.76",0.7661,1.3929,1.1615,1.073,"1,213,251,442.48","3,277,927,805.76",43.3772,"-485,702,364.15","177,758,897.96","4,510,914,104.96","-17,751,843.88",5.8806,71.9386,"3,455,686,703.72",-7.7501,-7.057,"5,954,555,876.17","294,127,783.50",-8.7178,5.3909,3.7653,2.0658,0.8785,-8.0459,2.2967,26.4203,45.28,"790,575,404.98","7,966,600,808.68","-512,140,849.56"
无锡威孚高科技集团股份有限公司,2009,1.392,5.0734,"31,415,151.06","3,080,616,313.77",0.6285,1.2463,0.9385,0.4598,"215,893,024.43","1,912,213,233.71",38.5955,"482,763,184.23","31,405,000.00","3,092,253,349.31","32,656,000.00",1.0851,5.3563,"1,943,618,233.71",15.671,10.7003,"2,475,668,835.81","18,334,016.30",15.6576,4.5179,9.3227,1.1832,0.6395,15.8758,1.5602,9.5254,17.63,"72,512,044.82","5,035,871,583.02","463,700,678.22"
重庆长安汽车股份有限公司,2009,2.5711,93.6164,"-4,227,674.25","25,203,693,116.50",1.7513,0.935,0.7632,0.719,"2,912,353,593.29","14,575,393,590.67",63.6533,"1,088,984,927.69","1,001,469,155.79","8,894,554,115.43","-14,144,458.99",10.2174,51.755,"15,576,862,746.46",4.3207,5.3959,"20,159,376,627.94","539,629,495.88",12.26,9.6775,,2.4913,1.2653,4.559,88.4324,59.238,45.55,"370,988,817.11","24,471,416,861.89","1,085,756,980.65"
江南模塑科技股份有限公司,2009,1.1326,11.1103,"64,721,549.50","1,727,352,982.00",2.6476,0.7495,0.483,0.2657,"346,667,560.08","2,121,651,414.31",72.5851,"136,006,233.98","386,068,837.34","947,151,028.27","56,893,561.28",34.9369,3.9169,"2,507,720,251.65",7.8737,5.6515,"1,282,718,631.55","91,608,663.06",3.6437,2.0273,,0.9148,0.5061,5.2407,20.2764,2.4695,36.89,"60,532,437.76","3,454,871,279.92","78,878,070.88"
斯太尔动力股份有限公司,2009,1.5409,4.5388,"6,962,454.75","602,509,051.17",2.6054,0.9799,0.7325,0.3398,"15,861,755.74","452,429,963.77",72.2637,"-3,236,330.83","29,191,700.00","184,856,067.53","6,167,276.58",14.2252,2.0962,"481,621,663.77",-0.5371,0.4743,"539,387,387.76","2,399,861.45",-3.5973,4.5948,,2.6548,0.975,-0.693,20.0774,17.0389,18.51,"12,283,276.86","666,477,731.30","-4,152,134.33"
一汽轿车股份有限公司,2009,3.359,203.9019,"-26,234,278.88","27,744,501,058.64",0.8619,1.5438,1.3174,1.2592,"2,143,654,651.73","6,624,863,408.20",46.2909,"1,895,489,119.38","49,876,732.99","7,744,377,415.54",,0.6494,,"6,674,740,141.19",6.8319,15.2288,"21,612,679,229.15","1,374,569,172.32",21.35,15.4696,8.6215,6.9106,2.2603,6.7071,37.0406,42.3427,53.03,"332,175,485.06","14,419,117,556.73","1,645,385,669.30"
