公司名称,流动性 财务风险-流动性风险-流动资产周转率,财务风险-流动性风险-应收账款周转率,筹资方面财务风险-筹资风险-纳税信用等级,财务风险-筹资风险-征信信用等级,财务风险-筹资风险-1/财务费用率,财务风险-筹资风险-1/产权比率,财务风险-筹资风险-融资轮次,财务风险-筹资风险-股权出质总计,对外投资数量,清偿方面---财务风险-短期清偿能力-流动比率,财务风险-短期清偿能力-速动比率,财务风险-短期清偿能力-现金比率,财务风险-短期清偿能力-现金流量比率,财务风险-长期清偿能力-资产负债率,财务风险-长期清偿能力-长期资本负债率,财务风险-长期清偿能力-利息保障倍数,财务风险-长期清偿能力-现金流量利息保障倍数,财务风险-长期清偿能力-现金流量债务比,经营力方面---财务风险-盈利能力-销售净利率,财务风险-盈利能力-总资产报酬率,财务风险-盈利能力-主营业务利润率,财务风险-盈利能力-净资产收益率,财务风险-资产利用-存货周转率,财务风险-资产利用-营运资本周转率,财务风险-资产利用-非流动资产周转率,财务风险-资产利用-总资产周转率,财务风险-资产利用-成本费用利润率,财务风险-成长能力-营业收入增长率,财务风险-成长能力-总资产增长率,财务风险-资本结构-上市股东持股比例,财务风险-上市情况-是否上市,技术风险--经营风险-知识产权-专利数量,经营风险-知识产权-软件著作权数量,经营风险-知识产权-作品著作权数量,司法方面---经营风险-司法风险-诉讼数量,经营风险-其它风险-经营异常次数,经营风险-其它风险-行政处罚次数,经营风险-其它风险-动产质押次数,经营风险-其它风险-自身风险,经营风险-其它风险-周边风险,组织方面---经营风险-组织结构风险-股东数量（注册）,经营风险-组织结构风险-第一大股东持股比例（注册）,竞品信息,经营风险-战略风险-公众号数
万邦联合（北京）设备有限公司,1.308838023,12.80599991,11,11,1429.929481,1.281762735,0,0,1,192.7880649,145.1439179,0.11797598,-0.511481334,47.78937454,0,16138000,-22319000,-0.511481334,0.110502606,0.176740518,0.355702683,0.255217838,3.384896422,1.738052268,9.795655652,0.770701675,0.172805926,0.450013173,-0.479978583,0,0,4,0,0,0,0,0,0,0,0,2,0.85,0,0
三环永磁（北京）科技有限公司,0.944184521,2.372316945,10,10,-2102.95419,6.456289946,0,0,2,532.8653513,473.9531718,0.371272409,0.50024525,13.41151357,0,168347000,99946000,0.50024525,0.142353339,0.1130058,0.349596601,0.11093272,5.499239565,0.748436413,1.522692998,0.434495744,0.201124453,-0.227428912,0.00724746,,0,8,0,0,0,0,0,0,0,2,2,0.6,0,0
世纪良基集团有限公司,0.516450239,8.177900305,9,9,9.92342281,0.812219631,0,0,6,87.33737181,74.0982598,0.002983234,0.099292972,55.1809495,0,1179000,67466000,0.099292972,0.00384697,0.000957495,0.28760584,0.002136357,2.403701824,-2.513133761,0.338957411,0.175601662,0.003861826,4.017004183,0.757254354,,0,46,0,0,1,0,0,0,0,0,3,0.91,0,0
东电创新（北京）科技发展股份有限公司,0.64506365,2.610231036,9,9,287.1513316,1.241700831,8,0,2,221.4656316,208.3971366,1.324434656,-0.106008826,44.60905624,0,72226000,-29810000,-0.106008826,0.152741303,0.11457679,0.375463314,0.175731523,6.816620675,0.733400668,32.9437095,0.397390746,0.214541382,1.783123469,2.642884371,,0,1,27,0,0,0,0,0,0,0,5,0.5909,10,1
中人时代教育科技（北京）股份有限公司,1.999998947,4.749994063,15,15,3800000,-0.720930149,0,0,4,22.09302326,22.09302326,0.127906962,-0.627906904,358.3333333,0,-17100000,-5400000,-0.627906904,-4.499998816,-7.125,-0.026315783,2.758064516,3900000,-0.582089639,7.7999844,1.624999323,-0.818181779,-0.109375006,-0.794871727,,0,0,3,0,0,0,0,0,0,0,6,0.4237,10,1
中信网络科技股份有限公司,2.035527599,4.839789226,8,8,89.23369504,1.681607137,0,0,0,262.1734898,262.1445945,1.395565826,0.719314141,37.29110915,0,48810000,256406000,0.719314141,0.019407722,0.051062788,0.23577552,0.061590897,14041.3297,2.501844025,67.76959525,1.513022526,0.026382001,2.775482209,0.093388757,,0,0,47,0,1,0,0,0,0,3,6,0.65,10,0
中关村科技软件股份有限公司,2.133800086,28.91860417,11,11,-3328.760473,8.851917016,0,0,2,661.1257406,542.5485517,3.939186803,0.95000819,10.15026604,0,-4456000,23089000,0.95000819,-0.012395766,-0.018609935,0.249522398,-0.019754762,8.905825709,1.881980687,3.258639912,1.071896321,-0.012727392,2.825821602,-0.403302938,0.2775,1,0,57,0,1,0,0,0,1,8,9,0.2775,10,0
中农博乐科技开发有限公司,1.263115686,39413000,14,14,39413000,3.149971326,0,0,1,189.03,189.03,3.010109903,0.380453027,70.85,0,11991000,2032000,0.380453027,0.30000253,0.217539595,0.999999975,0.23752511,0,0,0,0,1.819298768,32822000,2.613070096,0,0,4,0,0,0,0,0,0,0,0,5,0.55,0,0
中博农(北京)牧场建设有限公司,1.775730905,12.57641622,10,10,1573033000,1.83191483,0,0,4,268.2129351,240.5977976,0.036992966,0,35.31179637,0,292670000,0,0,0.181438024,0.312908282,0.999999999,0.471715233,0,0,0,0,2.3668079,1.482305453,0.499747455,0,0,11,0,0,0,0,0,0,1,1,1,1,0,0
中博农畜牧科技股份有限公司,0.972297005,2.82973839,6,6,34.24896799,1.336263661,4,0,5,191.9813926,117.9223971,0.311426109,-0.257824539,42.80338801,0,355564000,-463123000,-0.257824539,0.08794849,0.08472739,1,0.122855418,0,0,0,0,0.644601279,-0.209670523,0.145350397,,0,41,8,0,11,0,0,0,9,16,20,0.4406,10,0
